trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2
1,0,True,0,15,0,11,1,,,,catch,0,,,,0.72,
2,0,True,0,15,1,11,0,,,,catch,0,,,,0.14,
3,1,True,0,15,0,9,1,,,,catch,0,,,,0.84,
4,1,True,1,15,1,9,1,,,,catch,0,,,,0.01,
5,2,True,0,14,1,12,0,,,,catch,0,,,,0.15,
6,2,True,0,15,0,7,1,,,,catch,0,,,,0.06,
7,3,False,1,15,1,10,1,1,19,1,forceblk4,2,0,0,6,0.1,0.86
8,3,False,1,15,1,15,1,1,27,1,forceblk4,1,0,0,49,0.29,1.19
9,4,False,1,15,1,23,1,1,32,1,choice,1,0,0,20,0.53,1.26
10,4,False,1,15,1,13,1,1,27,1,force,2,1,0,49,0.45,1.58
11,4,False,0,15,0,15,1,1,11,0,choice,2,1,1,40,1.77,1.52
12,4,False,0,15,0,9,1,1,10,0,force,1,1,0,36,0.94,0.87
13,5,False,1,15,1,18,1,1,22,1,force,2,1,0,28,1.21,0.95
14,5,False,0,15,1,18,0,0,13,1,choice,1,0,0,35,9.03,1.03
15,5,False,0,15,1,9,0,0,15,1,choice,2,1,1,39,0.35,0.95
16,5,False,0,15,1,13,0,0,12,1,force,2,1,0,24,0.85,1.53
17,6,False,0,15,0,9,1,0,16,1,choice,2,1,1,18,0.54,0.97
18,6,False,0,15,0,21,1,0,26,1,force,1,0,1,32,0.99,0.79
19,6,False,1,15,1,16,1,0,13,0,choice,1,0,0,39,2.04,1.65
20,6,False,1,15,0,12,0,1,18,1,force,1,0,1,32,0.72,1.27
21,7,False,0,15,0,13,1,1,5,0,choice,2,0,0,39,0.71,0.73
22,7,False,1,15,1,5,1,0,11,0,force,2,0,1,-9,0.01,0.81
23,7,False,0,15,0,4,1,1,13,0,choice,1,1,1,37,0.16,0.54
24,7,False,1,15,0,14,0,0,22,0,force,1,0,1,49,1.68,1.05
25,8,False,1,15,1,12,1,0,16,0,choice,1,0,0,24,1.01,1.14
26,8,False,0,15,1,7,0,0,13,1,choice,1,1,1,24,0.42,0.54
27,8,False,0,15,0,9,1,0,12,1,force,2,0,1,36,0.59,1.38
28,8,False,0,15,0,11,1,1,17,0,force,1,0,1,41,0.48,1.06
29,9,False,0,15,0,11,1,0,13,1,choice,2,1,1,29,0.73,1.34
30,9,False,1,15,1,10,1,0,12,0,force,1,1,0,21,1.23,1.51
31,9,False,1,15,0,3,0,1,12,1,force,2,0,1,41,0.73,0.65
32,9,False,1,15,1,12,1,0,8,0,choice,1,1,1,49,0.3,1.05
